Player,Team_Name_Abbrev,Pos,Team_Name_Full,Team_Name_Mascot
Miles Boykin,BAL,,Baltimore Ravens,Ravens
Nick Boyle,BAL,te,Baltimore Ravens,Ravens
Garrett Bradbury,MIN,C,Minnesota Vikings,Vikings
Gary Brightwell,NYG,,NY Giants,Giants
Keke Coutee,IND,,Indianapolis Colts,Colts
Darrell Daniels,ARI,te,Arizona Cardinals,Cardinals
Frank Darby,ATL,,Atlanta Falcons,Falcons
Davion Davis,HOU,wr,Houston Texans,Texans
Wayne Gallman,2TM,,key does not exist --> 2TM,2TM
Marvin Hall,ATL,,Atlanta Falcons,Falcons
Taylor Heinicke,WAS,QB,Washington Commanders,Commanders
Daniel Helm,LVR,te,Las Vegas Raiders,Raiders
Kylin Hill,GNB,,Green Bay Packers,Packers
Amani Hooker,TEN,DB,Tennessee Titans,Titans
Brycen Hopkins,LAR,,Los Angeles Rams,Rams
Andy Isabella,ARI,,Arizona Cardinals,Cardinals
Lane Johnson,PHI,T,Philadelphia Eagles,Eagles
Daniel Jones,NYG,QB,NY Giants,Giants
Tommylee Lewis,MIA,,Miami Dolphins,Dolphins
Drew Lock,DEN,qb,Denver Broncos,Broncos
Hunter Long,MIA,te,Miami Dolphins,Dolphins
Conor McDermott,NYJ,ol,NY Jets,Jets
Anthony McFarland Jr.,PIT,,Pittsburgh Steelers,Steelers
Kirk Merritt,MIA,,Miami Dolphins,Dolphins
Johnny Mundt,LAR,,Los Angeles Rams,Rams
Ryan Nall,CHI,,Chicago Bears,Bears
Devine Ozigbo,2TM,,key does not exist --> 2TM,2TM
Danny Pinter,IND,g,Indianapolis Colts,Colts
Bobby Price,DET,s,Detroit Lions,Lions
Mike Remmers,KAN,t,Kansas City Chiefs,Chiefs
Andre Roberts,2TM,,key does not exist --> 2TM,2TM
Aaron Rodgers,GNB,QB,Green Bay Packers,Packers
Larry Rountree,LAC,,Los Angeles Chargers,Chargers
Diontae Spencer,DEN,,Denver Broncos,Broncos
Terence Steele,DAL,T,Dallas Cowboys,Cowboys
Andrew Thomas,NYG,T,NY Giants,Giants
Eric Tomlinson,BAL,te,Baltimore Ravens,Ravens
Kevin White,NOR,wr,key does not exist --> NOR,NOR
Christian Wilkins,MIA,DT,Miami Dolphins,Dolphins
Seth Williams,DEN,wr,Denver Broncos,Broncos
Trayveon Williams,CIN,,Cincinnati Bengals,Bengals
Easop Winston,NOR,,key does not exist --> NOR,NOR
Deon Yelder,TAM,,Tampa Bay Buccaneers,Buccaneers
Tom Brady,TAM,QB,Tampa Bay Buccaneers,Buccaneers
Justin Herbert,LAC,QB,Los Angeles Chargers,Chargers
Matthew Stafford,LAR,QB,Los Angeles Rams,Rams
Patrick Mahomes,KAN,QB,Kansas City Chiefs,Chiefs
Derek Carr,LVR,QB,Las Vegas Raiders,Raiders
Joe Burrow,CIN,QB,Cincinnati Bengals,Bengals
Dak Prescott,DAL,QB,Dallas Cowboys,Cowboys
Josh Allen,BUF,QB,Buffalo Bills,Bills
Kirk Cousins,MIN,QB,Minnesota Vikings,Vikings
Aaron Rodgers*+,GNB,QB,Green Bay Packers,Packers
Matt Ryan,ATL,QB,Atlanta Falcons,Falcons
Jimmy Garoppolo,SFO,QB,San Francisco 49ers,49ers
Mac Jones,NWE,QB,New England Patriots,Patriots
Kyler Murray,ARI,QB,Arizona Cardinals,Cardinals
Ben Roethlisberger,PIT,0,Pittsburgh Steelers,Steelers
Ryan Tannehill,TEN,QB,Tennessee Titans,Titans
Trevor Lawrence,JAX,QB,Jacksonville Jaguars,Jaguars
Carson Wentz,IND,QB,Indianapolis Colts,Colts
Jared Goff,DET,QB,Detroit Lions,Lions
Jalen Hurts,PHI,QB,Philadelphia Eagles,Eagles
Russell Wilson,SEA,QB,Seattle Seahawks,Seahawks
Teddy Bridgewater,DEN,QB,Denver Broncos,Broncos
Baker Mayfield,CLE,QB,Cleveland Browns,Browns
Lamar Jackson,BAL,QB,Baltimore Ravens,Ravens
Davis Mills,HOU,QB,Houston Texans,Texans
Tua Tagovailoa,MIA,QB,Miami Dolphins,Dolphins
Sam Darnold,CAR,QB,Carolina Panthers,Panthers
Zach Wilson,NYJ,QB,NY Jets,Jets
Justin Fields,CHI,qb,Chicago Bears,Bears
Andy Dalton,CHI,qb,Chicago Bears,Bears
Jacoby Brissett,MIA,qb,Miami Dolphins,Dolphins
Jameis Winston,NOR,qb,key does not exist --> NOR,NOR
Trevor Siemian,NOR,qb,key does not exist --> NOR,NOR
Tyler Huntley,BAL,qb,Baltimore Ravens,Ravens
Tyrod Taylor,HOU,qb,Houston Texans,Texans
Mike White,NYJ,qb,NY Jets,Jets
Mike Glennon,NYG,qb,NY Giants,Giants
Colt McCoy,ARI,qb,Arizona Cardinals,Cardinals
Geno Smith,SEA,qb,Seattle Seahawks,Seahawks
Cam Newton,CAR,qb,Carolina Panthers,Panthers
Josh Johnson,2TM,0,key does not exist --> 2TM,2TM
Trey Lance,SFO,qb,San Francisco 49ers,49ers
Tim Boyle,DET,qb,Detroit Lions,Lions
Case Keenum,CLE,qb,Cleveland Browns,Browns
Gardner Minshew II,PHI,qb,Philadelphia Eagles,Eagles
Cooper Rush,DAL,qb,Dallas Cowboys,Cowboys
Jordan Love,GNB,qb,Green Bay Packers,Packers
P.J. Walker,CAR,qb,Carolina Panthers,Panthers
Joe Flacco,NYJ,qb,NY Jets,Jets
Mason Rudolph,PIT,qb,Pittsburgh Steelers,Steelers
Nick Foles,CHI,qb,Chicago Bears,Bears
Brian Hoyer,NWE,0,New England Patriots,Patriots
Jake Fromm,NYG,qb,NY Giants,Giants
Garrett Gilbert,WAS,qb,Washington Commanders,Commanders
Sean Mannion,MIN,qb,Minnesota Vikings,Vikings
Brandon Allen,CIN,qb,Cincinnati Bengals,Bengals
Nick Mullens,CLE,qb,Cleveland Browns,Browns
Ian Book,NOR,qb,key does not exist --> NOR,NOR
Kyle Allen,WAS,0,Washington Commanders,Commanders
Chad Henne,KAN,0,Kansas City Chiefs,Chiefs
Tom Kennedy,DET,0,Detroit Lions,Lions
Blaine Gabbert,TAM,0,Tampa Bay Buccaneers,Buccaneers
Mitchell Trubisky,BUF,0,Buffalo Bills,Bills
Jack Fox,DET,p,Detroit Lions,Lions
Chris Streveler,ARI,0,Arizona Cardinals,Cardinals
C.J. Beathard,JAX,0,Jacksonville Jaguars,Jaguars
Jacob Eason,IND,0,Indianapolis Colts,Colts
Deebo Samuel*+,SFO,WR,San Francisco 49ers,49ers
Chris Banjo,ARI,0,Arizona Cardinals,Cardinals
Josh Rosen,ATL,0,Atlanta Falcons,Falcons
Dante Pettis,NYG,0,NY Giants,Giants
Tommy Townsend,KAN,p,Kansas City Chiefs,Chiefs
Ryan Fitzpatrick,WAS,qb,Washington Commanders,Commanders
Matthias Farley,TEN,0,Tennessee Titans,Titans
Kellen Mond,MIN,0,Minnesota Vikings,Vikings
John Wolford,LAR,0,Los Angeles Rams,Rams
Marcus Mariota,LVR,0,Las Vegas Raiders,Raiders
Johnny Hekker,LAR,0,Los Angeles Rams,Rams
Greg Ward,PHI,0,Philadelphia Eagles,Eagles
Danny Amendola,HOU,0,Houston Texans,Texans
Chris Boswell,PIT,k,Pittsburgh Steelers,Steelers
Riley Dixon,NYG,0,NY Giants,Giants
Feleipe Franks,ATL,0,Atlanta Falcons,Falcons
Blake Gillikin,NOR,p,key does not exist --> NOR,NOR
Sam Koch,BAL,p,Baltimore Ravens,Ravens
Cooper Kupp*+,LAR,WR,Los Angeles Rams,Rams
Ty Long,LAC,p,Los Angeles Chargers,Chargers
Brett Rypien,DEN,0,Denver Broncos,Broncos
Ben Roethlisberger,PIT,,Pittsburgh Steelers,Steelers
Jason Huntley,PHI,,Philadelphia Eagles,Eagles
Deon Jackson,IND,,Indianapolis Colts,Colts
Marcus Mariota,LVR,,Las Vegas Raiders,Raiders
Mitchell Trubisky,BUF,,Buffalo Bills,Bills
Brian Hoyer,NWE,,New England Patriots,Patriots
Blaine Gabbert,TAM,,Tampa Bay Buccaneers,Buccaneers
Josh Johnson,2TM,,key does not exist --> 2TM,2TM
Chad Henne,KAN,,Kansas City Chiefs,Chiefs
La'Mical Perine,NYJ,,NY Jets,Jets
Logan Woodside,TEN,,Tennessee Titans,Titans
Buddy Howell,LAR,,Los Angeles Rams,Rams
Mekhi Sargent,3TM,,key does not exist --> 3TM,3TM
Kenjon Barner,TAM,,Tampa Bay Buccaneers,Buccaneers
JaQuan Hardy,DAL,,Dallas Cowboys,Cowboys
Trenton Cannon,2TM,,key does not exist --> 2TM,2TM
Damarea Crockett,DEN,,Denver Broncos,Broncos
Sam Ehlinger,IND,,Indianapolis Colts,Colts
Feleipe Franks,ATL,,Atlanta Falcons,Falcons
Chris Streveler,ARI,,Arizona Cardinals,Cardinals
Kyle Allen,WAS,,Washington Commanders,Commanders
Kurt Benkert,GNB,,Green Bay Packers,Packers
Chase Daniel,LAC,,Los Angeles Chargers,Chargers
Jake Funk,LAR,,Los Angeles Rams,Rams
John Kelly,CLE,,Cleveland Browns,Browns
Dallin Leavitt,LVR,s,Las Vegas Raiders,Raiders
Raheem Mostert,SFO,rb,San Francisco 49ers,49ers
Jacques Patrick,SFO,,San Francisco 49ers,49ers
Nathan Peterman,LVR,,Las Vegas Raiders,Raiders
Davis Webb,BUF,,Buffalo Bills,Bills
John Wolford,LAR,,Los Angeles Rams,Rams
Alex Bachman,NYG,,NY Giants,Giants
C.J. Beathard,JAX,,Jacksonville Jaguars,Jaguars
David Blough,DET,,Detroit Lions,Lions
Sean Chandler,CAR,s,Carolina Panthers,Panthers
Nathan Cottrell,JAX,,Jacksonville Jaguars,Jaguars
Clayton Fejedelem,MIA,,Miami Dolphins,Dolphins
Maurice Ffrench,LAC,,Los Angeles Chargers,Chargers
Jamie Gillan,CLE,p,Cleveland Browns,Browns
Johnny Hekker,LAR,,Los Angeles Rams,Rams
Andy Lee,ARI,p,Arizona Cardinals,Cardinals
Braden Mann,NYJ,p,NY Jets,Jets
Nate McCrary,BAL,,Baltimore Ravens,Ravens
C.J. Moore,DET,s,Detroit Lions,Lions
Michael Palardy,MIA,p,Miami Dolphins,Dolphins
Ito Smith,DAL,,Dallas Cowboys,Cowboys
Tremon Smith,HOU,db,Houston Texans,Texans
Andrew Wingard,JAX,S,Jacksonville Jaguars,Jaguars
